address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
13132 Phoenix Woods Ln,Orlando,FL,32824,409900,3,2,1326,,single_family,O6429065,https://www.redfin.com/FL/Orlando/13132-Phoenix-Woods-Ln-32824/for-sale/46859281,kissimmee,32824
2587 Tanner Ter,Kissimmee,FL,34743,409900,4,2,1843,37,single_family,S5155268,https://www.redfin.com/FL/Kissimmee/2587-Tanner-Ter-34743/for-sale/64040599,kissimmee,34743
2663 Gold Dust Cir,Kissimmee,FL,34744,409900,4,2,2085,34,single_family,S5153091,https://www.redfin.com/FL/Kissimmee/2663-Gold-Dust-Cir-34744/home/46570979,kissimmee,34744
2356 Royal Oaks Blvd,Kissimmee,FL,34744,409900,4,3,2096,,single_family,A11992433,https://www.redfin.com/FL/Kissimmee/2356-Royale-Oaks-Blvd-34744/home/46542162,kissimmee,34744
1979 Cacutta Way,Kindred,FL,34744,409900,3,2,1672,11,single_family,O6374518,https://www.redfin.com/FL/Kindred/1979-Cacutta-Way-34744/home/177670013,kissimmee,34744
8899 Geneve Ct,Kissimmee,FL,34747,409900,4,3.5,2102,579,condo,O6427755,https://www.redfin.com/FL/Kissimmee/8899-Geneve-Ct-34747/home/146057547,kissimmee,33896
3516 Chroma St,Orlando,FL,32824,409990,3,2.5,1673,150,condo,O6426663,https://www.redfin.com/FL/Orlando/3516-Chroma-St-32824/home/200368061,kissimmee,32824
3528 Chroma St,Orlando,FL,32824,409990,3,2.5,1673,,condo,01FD49D09665,https://www.redfin.com/FL/Orlando/3528-Chroma-St-32824/home/200368059,kissimmee,32824
3534 Chroma St,Orlando,FL,32824,409990,3,2.5,1673,,condo,BAD26D9BB161,https://www.redfin.com/FL/Orlando/3534-Chroma-St-32824/home/200368058,kissimmee,32824
3510 Chroma St,Orlando,FL,32824,409990,3,2.5,1673,150,condo,O6422717,https://www.redfin.com/FL/Orlando/3510-Chroma-St-32824/home/200368062,kissimmee,32824
3504 Chroma St,Orlando,FL,32824,409990,3,2.5,1673,150,condo,O6422724,https://www.redfin.com/FL/Orlando/3504-Chroma-St-32824/home/200368063,kissimmee,32824
1872 Howard Mesa Dr,Kindred,FL,34744,409990,3,2,1504,10,single_family,O6416128,https://www.redfin.com/FL/Kindred/1872-Howard-Mesa-Dr-34744/home/188668357,kissimmee,34744
4963 Pall Mall St E,Kissimmee,FL,34758,409999,4,2.5,1469,317,single_family,O6224666,https://www.redfin.com/FL/Kissimmee/4963-Pall-Mall-St-34758/home/162356873,kissimmee,34758
1720 Bear Bay Cv,Orlando,FL,32824,410000,4,2.5,1941,120,single_family,O6430447,https://www.redfin.com/FL/Orlando/1720-Bear-Bay-Cv-32824/for-sale/46973981,kissimmee,32824
10337 Laxton St,Orlando,FL,32824,410000,3,2,1624,37,single_family,O6428243,https://www.redfin.com/FL/Orlando/10337-Laxton-St-32824/for-sale/46597051,kissimmee,32824
2724 Emerson Ln,Kissimmee,FL,34743,410000,3,3,1598,26,single_family,O6421624,https://www.redfin.com/FL/Kissimmee/2724-Emerson-Ln-34743/home/46519051,kissimmee,34743
2589 Hunley Loop,Kissimmee,FL,34743,410000,4,2,2148,37,single_family,O6415759,https://www.redfin.com/FL/Kissimmee/2589-Hunley-Loop-34743/home/46498948,kissimmee,34743
2661 Ellen Ave,Kissimmee,FL,34744,410000,4,2,1864,,single_family,O6399716,https://www.redfin.com/FL/Kissimmee/2661-Ellen-Ave-34744/home/46569461,kissimmee,34744
955 LA Mirada Ct,Kissimmee,FL,34744,410000,4,2,1692,114,single_family,S5152022,https://www.redfin.com/FL/Kissimmee/955-La-Mirada-Ct-34744/home/103848533,kissimmee,34744
2705 Prestwick Ln,Kissimmee,FL,34744,410000,4,3,1719,73,single_family,O6384546,https://www.redfin.com/FL/Kissimmee/2705-Prestwick-Ln-34744/home/46478564,kissimmee,34744
