address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
202 Orchid Dr,Indian Lake Estates,FL,33855,29000,,,,,8,O6312419,https://www.redfin.com/FL/Indian-Lake-Estates/202-Orchid-Dr-33855/home/46117875,poinciana,33898
22 Bougainville Dr,Indian Lake Estates,FL,33855,30000,,,,66,8,S5143305,https://www.redfin.com/FL/Indian-Lake-Estates/22-Bougainvillea-Dr-33855/home/46116030,poinciana,33898
1344 Homosassa Ct,Poinciana,FL,34759,30000,,,,20,8,O6424676,https://www.redfin.com/FL/Poinciana/1344-Homosassa-Ct-34759/home/46256060,poinciana,34759
1342 Homosassa Ct,Poinciana,FL,34759,30000,,,,20,8,O6424652,https://www.redfin.com/FL/Poinciana/1342-Homosassa-Ct-34759/home/46256061,poinciana,34759
1340 Homosassa Ct,Poinciana,FL,34759,30000,,,,20,8,O6424682,https://www.redfin.com/FL/Poinciana/1340-Homosassa-Ct-34759/home/46256070,poinciana,34759
441 Vernon Ct,Poinciana,FL,34759,30000,,,,25,8,S5151102,https://www.redfin.com/FL/Poinciana/441-Vernon-Ct-34759/home/46256645,poinciana,34759
0 Bougainvillea Dr,Indian Lake Estates,FL,33855,32000,,,,33,8,B26009227,https://www.redfin.com/FL/Indian-Lake-Estates/Bougainvillea-Dr-33855/home/46062959,poinciana,33898
1326 Clove Dr,Poinciana,FL,34759,32000,,,,319,8,O6406633,https://www.redfin.com/FL/Poinciana/1326-Clove-Dr-34759/home/46089620,poinciana,34759
1267 Baltic Dr,Poinciana,FL,34759,32500,,,,420,8,O6425595,https://www.redfin.com/FL/Poinciana/1267-Baltic-Dr-34759/home/46256337,poinciana,34759
Shady Oak Ave,Lake Wales,FL,33898,33500,,,,,8,O6411685,https://www.redfin.com/FL/Lake-Wales/Shady-Oak-Ave-33898/home/46140965,poinciana,33898
Lot 15 Park Ave,Indian Lake Estates,FL,33855,34900,,,,,8,F10537695,https://www.redfin.com/FL/Indian-Lake-Estates/Lot-15-Park-AVE-33855/home/201536893,poinciana,33898
1249 Alafia Way,Poinciana,FL,34759,34990,,,,35,8,O6424241,https://www.redfin.com/FL/Poinciana/1249-Alafia-Way-34759/home/46256576,poinciana,34759
421 Azalea Dr,Indian Lake Estates,FL,33855,35000,,,,,8,TB8395629,https://www.redfin.com/FL/Indian-Lake-Estates/421-Azalea-Dr-33855/home/46116516,poinciana,33898
416 Bougainville Dr,Indian Lake Estates,FL,33855,35000,,,,,8,P4937983,https://www.redfin.com/FL/Indian-Lake-Estates/416-Bougainvillea-Dr-33855/home/46116519,poinciana,33898
1336 Hillsborough Ct,Poinciana,FL,34759,35000,,,,23,8,O6424758,https://www.redfin.com/FL/Poinciana/1336-Hillsborough-Ct-34759/home/46256019,poinciana,34759
1220 Caribbean Dr,Poinciana,FL,34759,35000,,,,35,8,R4911619,https://www.redfin.com/FL/Poinciana/1220-Caribbean-Dr-34759/home/46256588,poinciana,34759
1250 Caribbean Dr,Poinciana,FL,34759,35000,,,,35,8,R4911620,https://www.redfin.com/FL/Poinciana/1250-Caribbean-Dr-34759/home/46256640,poinciana,34759
1211 Wahneta Dr,Poinciana,FL,34759,35000,,,,35,8,R4911633,https://www.redfin.com/FL/Poinciana/1211-Wahneta-Dr-34759/home/46255766,poinciana,34759
147 Zinnia Ln W,Poinciana,FL,34759,36000,,,,55,8,G5115755,https://www.redfin.com/FL/Poinciana/147-Zinnia-Ln-W-34759/home/46149136,poinciana,34759
