address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
0 Highway 630 E #194,Lake Wales,FL,33898,239900,,,,350,8,R4910784,https://www.redfin.com/FL/Lake-Wales/0-Highway-630-E-33898/unit-194/home/200697739,poinciana,33898
511 Basil Ct,Poinciana,FL,34759,239900,3,2,1491,100,single_family,TB8536562,https://www.redfin.com/FL/Poinciana/511-Basil-Ct-34759/for-sale/46143523,poinciana,34759
350 W Aster Ct,Poinciana,FL,34759,239900,3,2,1263,100,single_family,P4939440,https://www.redfin.com/FL/Poinciana/350-W-Aster-Ct-34759/for-sale/46148217,poinciana,34759
503 Anise Ct,Poinciana,FL,34759,239900,3,2,1334,100,single_family,O6419403,https://www.redfin.com/FL/Poinciana/503-Anise-Ct-34759/home/46143490,poinciana,34759
1000 Valencia Ave,Haines City,FL,33844,239995,3,1.5,1011,,single_family,P4939304,https://www.redfin.com/FL/Haines-City/1000-Valencia-Ave-33844/for-sale/46199844,poinciana,33844
8363 Bella Tierra Ct,Davenport,FL,33896,239999,2,2,1504,718,townhouse,S5149600,https://www.redfin.com/FL/Davenport/8363-Bella-Tierra-Ct-33896/home/64041949,poinciana,33896
472 Sweetwater Way,Haines City,FL,33844,240000,2,2,1117,300,single_family,P4939438,https://www.redfin.com/FL/Haines-City/472-Sweetwater-Way-33844/for-sale/46266407,poinciana,33844
8221 Roseville Rd,Davenport,FL,33896,240000,3,2.5,1632,700,condo,S5152962,https://www.redfin.com/FL/Davenport/8221-Roseville-Blvd-33896/home/57346241,poinciana,33896
811 Ocean Course Ave #811,Davenport,FL,33896,240000,2,2,1388,598,townhouse,O6408573,https://www.redfin.com/FL/Davenport/811-Ocean-Course-AVE-33896/unit-811/home/201930526,poinciana,33896
1351 Tuscan Ter #8301,Davenport,FL,33896,240000,3,2,1244,751,townhouse,O6394595,https://www.redfin.com/FL/Davenport/1351-Tuscan-Ter-33896/unit-8301/home/46507878,poinciana,33896
1655 Cumin Dr,Poinciana,FL,34759,240000,3,2,1322,304,single_family,S5152014,https://www.redfin.com/FL/Poinciana/1655-Cumin-Dr-34759/home/46089745,poinciana,34759
202 Terrace Ridge Cir #202,Davenport,FL,33896,244500,4,2,1688,750,townhouse,O6407367,https://www.redfin.com/FL/Davenport/202-Terrace-Ridge-Cir-33896/unit-202/home/90709825,poinciana,33896
521 Eagle Ct,Poinciana,FL,34759,244900,4,2,1514,100,single_family,O6415936,https://www.redfin.com/FL/Poinciana/521-Eagle-Ct-34759/home/46219330,poinciana,34759
1802 Hudson Ct,Poinciana,FL,34759,244900,3,2,1467,100,single_family,O6419189,https://www.redfin.com/FL/Poinciana/1802-Hudson-Ct-34759/home/46108487,poinciana,34759
4227 Hillock Blvd,Haines City,FL,33844,244990,3,2.5,1279,160,condo,TB8535609,https://www.redfin.com/FL/Haines-City/4227-Hillock-Blvd-33844/home/194085836,poinciana,33844
2008 Lake Ellen Dr,Haines City,FL,33844,245000,3,2,1152,,10,O6415192,https://www.redfin.com/FL/Haines-City/2008-Lake-Ellen-Dr-33844/home/46282076,poinciana,33844
7077 Tamarind Way,Lake Wales,FL,33898,245000,2,2,1049,60,single_family,O6424567,https://www.redfin.com/FL/Lake-Wales/7077-Tamarind-Way-33898/for-sale/46256730,poinciana,33898
2060 Viewfinder St,Poinciana,FL,34758,245000,2,2.5,1275,223,condo,S5150191,https://www.redfin.com/FL/Poinciana/2060-Viewfinder-St-34758/home/186016002,poinciana,34758
3455 Fallbrook Dr,Poinciana,FL,34759,246900,2,2,1353,457,condo,S5153701,https://www.redfin.com/FL/Poinciana/3455-Fallbrook-Dr-34759/home/52800130,poinciana,34759
8213 Roseville Blvd,Davenport,FL,33896,248500,3,2.5,1632,703,condo,O6424447,https://www.redfin.com/FL/Davenport/8213-Roseville-Blvd-33896/home/57347789,poinciana,33896
503 Clubhouse Dr,Lake Wales,FL,33898,248900,2,2,1526,187,single_family,P4939325,https://www.redfin.com/FL/Lake-Wales/503-Clubhouse-Dr-33898/for-sale/46115412,poinciana,33898
8091 Brooksville Dr,Davenport,FL,33896,249000,3,2.5,1632,700,condo,O6420145,https://www.redfin.com/FL/Davenport/8091-Brooksville-Dr-33896/home/103848044,poinciana,33896
1064 Blackwolf Run Rd,Davenport,FL,33896,249000,2,2,1394,923,single_family,S5155385,https://www.redfin.com/FL/Davenport/1064-Blackwolf-Run-Rd-33896/for-sale/170049924,poinciana,33896
3606 Mayfair St,Poinciana,FL,34758,249000,3,2.5,1407,230,condo,O6393215,https://www.redfin.com/FL/Poinciana/3606-Mayfair-St-34758/home/194088788,poinciana,34758
437 Eagle Dr,Poinciana,FL,34759,249000,3,2,1100,100,single_family,O6428679,https://www.redfin.com/FL/Poinciana/437-Eagle-Dr-34759/for-sale/46220058,poinciana,34759
1215 Wisconsin Ave,St Cloud,FL,34769,249000,,,,,8,O6397838,https://www.redfin.com/FL/St-Cloud/1215-Wisconsin-Ave-34769/home/54719690,poinciana,34769
817 Ocean Course Ave #817,Davenport,FL,33896,249800,2,2,1388,662,townhouse,S5155308,https://www.redfin.com/FL/Davenport/817-Ocean-Course-AVE-33896/unit-817/home/204500069,poinciana,33896
342 Madison Dr,Davenport,FL,33837,249900,3,2.5,1404,339,condo,O6427204,https://www.redfin.com/FL/Davenport/342-Madison-Dr-33837/for-sale/170189926,poinciana,33837
3002 Canary Ave,Davenport,FL,33837,249900,3,2.5,1407,305,condo,O6412486,https://www.redfin.com/FL/Davenport/3002-Canary-Ave-33837/home/188716991,poinciana,33837
0 Highway 630 E #211,Lake Wales,FL,33898,249900,,,,350,8,R4910790,https://www.redfin.com/FL/Lake-Wales/Highway-630-33898/unit-211/home/199461158,poinciana,33898
441 Danube Dr,Poinciana,FL,34759,249900,3,2,1244,83,single_family,S5153320,https://www.redfin.com/FL/Poinciana/441-Danube-Dr-34759/home/46108291,poinciana,34759
252 Fig Ct,Poinciana,FL,34759,249900,4,2,1414,100,single_family,O6411693,https://www.redfin.com/FL/Poinciana/252-Fig-Ct-34759/home/46149312,poinciana,34759
1704 Missouri Ave,Saint Cloud,FL,34769,249900,3,2,1056,,10,W7887607,https://www.redfin.com/FL/Saint-Cloud/1704-Missouri-Ave-34769/home/46535897,poinciana,34769
4116 Orange Tree Ct,Saint Cloud,FL,34769,249900,3,2.5,1768,308,condo,S5149320,https://www.redfin.com/FL/Saint-Cloud/4116-Orange-Tree-Ct-34769/home/46488821,poinciana,34769
161 Mandovi St,Davenport,FL,33837,250000,3,2.5,1421,194,condo,O6426379,https://www.redfin.com/FL/Davenport/161-Mandovi-St-33837/home/181067135,poinciana,33837
221 Mandovi St,Davenport,FL,33837,250000,3,2.5,1480,194,condo,O6425315,https://www.redfin.com/FL/Davenport/221-Mandovi-St-33837/for-sale/181344885,poinciana,33837
2220 Pigeon Plum Dr,Haines City,FL,33844,250000,4,3,2476,75,single_family,S5154926,https://www.redfin.com/FL/Haines-City/2220-Pigeon-Plum-Dr-33844/for-sale/182912888,poinciana,33844
621 Silver Palm Dr,Haines City,FL,33844,250000,3,2,1560,6,single_family,O6429362,https://www.redfin.com/FL/Haines-City/621-Silver-Palm-Dr-33844/for-sale/182913014,poinciana,33844
663 Fairview Ave,Haines City,FL,33844,250000,3,2,1531,96,single_family,O6402618,https://www.redfin.com/FL/Haines-City/663-Fairview-Ave-33844/home/177181874,poinciana,33844
8323 Riverdale Ln #10123,Davenport,FL,33896,250000,3,2.5,2402,901,townhouse,S5147528,https://www.redfin.com/FL/Davenport/8323-Riverdale-Ln-33896/unit-10123/home/46506447,poinciana,33896
4258 Orchid Blvd,Lake Wales,FL,33898,250000,3,2,1387,60,single_family,P4936924,https://www.redfin.com/FL/Lake-Wales/4258-Orchid-Blvd-33898/home/46256792,poinciana,33898
327 Tindel Camp Rd,Lake Wales,FL,33898,250000,3,2,924,,10,O6305592,https://www.redfin.com/FL/Lake-Wales/327-Tindel-Camp-Rd-33898/home/46104017,poinciana,33898
2025 Viewfinder #2025,Poinciana,FL,34758,250000,2,2.5,1275,223,townhouse,A11960089,https://www.redfin.com/FL/Poinciana/2025-Viewfinder-St-34758/home/194088704,poinciana,34758
29 Herring Ct,Poinciana,FL,34759,250000,3,2,1270,100,single_family,P4939544,https://www.redfin.com/FL/Poinciana/29-Herring-Ct-34759/for-sale/46102299,poinciana,34759
3917 Natchez Trace Dr,Saint Cloud,FL,34769,250000,4,2,1248,18,single_family,S5154928,https://www.redfin.com/FL/Saint-Cloud/3917-Natchez-Trace-Dr-34769/for-sale/46532134,poinciana,34769
0 LA Salle Ave,St Cloud,FL,34772,250000,,,,,8,S5154531,https://www.redfin.com/FL/St-Cloud/La-Salle-Ave-34772/home/145536728,poinciana,34772
0 Henry J Ave,Saint Cloud,FL,34772,250000,,,,,8,S5151195,https://www.redfin.com/FL/Saint-Cloud/Henry-J-Ave-34772/home/193904493,poinciana,34772
2496 Bevel Ln,Davenport,FL,33837,253390,3,2.5,1378,170,condo,O6426028,https://www.redfin.com/FL/Davenport/2496-Bevel-Ln-33837/home/199465431,poinciana,33837
4254 Hillock Blvd,Haines City,FL,33844,254999,3,2.5,1534,160,condo,TB8520125,https://www.redfin.com/FL/Haines-City/4254-Hillock-Blvd-33844/home/194085758,poinciana,33844
,Davenport,FL,33837,255000,3,2,1480,301,condo,S5151500,https://www.redfin.com/FL/Davenport/Undisclosed-address-33837/home/181746674,poinciana,33837
505 Terrace Ridge Cir #505,Davenport,FL,33896,255000,4,2,1688,754,townhouse,O6425641,https://www.redfin.com/FL/Davenport/505-Terrace-Ridge-Cir-33896/unit-505/home/105554794,poinciana,33896
427 Lark Ct,Poinciana,FL,34759,255000,4,2,1893,100,single_family,TB8505126,https://www.redfin.com/FL/Poinciana/427-Lark-Ct-34759/home/46220170,poinciana,34759
704 Eola Way,Haines City,FL,33844,255150,4,3,1956,225,single_family,P4938938,https://www.redfin.com/FL/Haines-City/704-Eola-Way-33844/home/46062093,poinciana,33844
,Poinciana,FL,34758,256000,2,2.5,1187,196,condo,S5132925,https://www.redfin.com/FL/Poinciana/Undisclosed-address-34758/home/194088699,poinciana,34758
750 Pelican Ct,Poinciana,FL,34759,256900,3,2,1147,100,single_family,O6415918,https://www.redfin.com/FL/Poinciana/750-Pelican-Ct-34759/home/46219078,poinciana,34759
540 Bay Leaf Dr,Poinciana,FL,34759,257900,2,2,1208,331,condo,TB8514981,https://www.redfin.com/FL/Poinciana/540-Bay-Leaf-Dr-34759/home/154149315,poinciana,34759
2137 Emma Ln,Lake Wales,FL,33859,258900,3,2,1182,62,single_family,R4910288,https://www.redfin.com/FL/Lake-Wales/2137-Emma-Ln-33898/home/190108781,poinciana,33898
,Haines City,FL,33844,259000,3,2,1312,20,single_family,P4938442,https://www.redfin.com/FL/Haines-City/Undisclosed-address-33844/home/177182119,poinciana,33844
204 Grand Canal Dr,Poinciana,FL,34759,259000,2,2,1548,441,single_family,S5152651,https://www.redfin.com/FL/Poinciana/204-Grand-Canal-Dr-34759/home/46058261,poinciana,34759
1417 11th St,Saint Cloud,FL,34769,259000,2,1,788,,single_family,O6428731,https://www.redfin.com/FL/Saint-Cloud/1417-11th-St-34769/for-sale/46510334,poinciana,34769
1855 Bramblewood Dr,Saint Cloud,FL,34769,259000,4,2,1300,10,10,S5151715,https://www.redfin.com/FL/Saint-Cloud/1855-Bramblewood-Dr-34769/home/46536645,poinciana,34769
2320 Darby Ln,Saint Cloud,FL,34769,259000,3,2,1056,10,10,S5143333,https://www.redfin.com/FL/Saint-Cloud/2320-Darby-Ln-34769/home/46536617,poinciana,34769
2350 Aveeno Ave,Haines City,FL,33844,259900,3,2.5,1463,82,condo,O6416956,https://www.redfin.com/FL/Haines-City/2350-Aveeno-Ave-33844/home/199453870,poinciana,33844
2354 Aveeno Ave,Haines City,FL,33844,259900,3,2.5,1463,82,condo,O6416601,https://www.redfin.com/FL/Haines-City/2354-Aveeno-Ave-33844/home/199453869,poinciana,33844
0 Highway 630 E #7,Lake Wales,FL,33898,259900,,,,350,8,R4910778,https://www.redfin.com/FL/Lake-Wales/0-Highway-630-E-33898/unit-7/home/197914467,poinciana,33898
3497 Fallbrook Dr,Poinciana,FL,34759,259900,2,2,1499,457,single_family,O6415435,https://www.redfin.com/FL/Poinciana/3497-Fallbrook-Dr-34759/home/52800107,poinciana,34759
280 Fig Ct,Poinciana,FL,34759,259900,4,2,1414,103,single_family,O6419965,https://www.redfin.com/FL/Poinciana/280-Fig-Ct-34759/home/46149258,poinciana,34759
449 Danube Dr,Poinciana,FL,34759,259900,4,2,1583,100,single_family,O6417249,https://www.redfin.com/FL/Poinciana/449-Danube-Dr-34759/home/46108287,poinciana,34759
606 New York Ave Unit New York Ave,Saint Cloud,FL,34769,259900,2,1,800,,single_family,S5150283,https://www.redfin.com/FL/Saint-Cloud/606-New-York-Ave-34769/home/46509202,poinciana,34769
